id_membro,Nivel_Senioridade,Avaliacao_Tecnica,Avaliacao_Comportamental,Engajamento_PIGs,Score_Desempenho,Status_Membro
1,Júnior,"7,5","8,1",0.9,7.8,Em destaque
2,Pleno,"8,2","7,5",0.75,7.85,Padrão
3,Sênior,"9,1","9,5",1.0,9.3,Em destaque
4,Pleno,"6,5","7,0",0.8,6.75,Padrão
5,Pleno,"7,8","8,8",0.82,8.3,Em destaque
6,Pleno,"8,0","6,5",0.7,7.25,Padrão
7,Pleno,"5,5","6,0",0.5,5.75,Padrão
8,Pleno,"9,0","9,2",0.95,9.1,Em destaque
9,Sênior,"8,8","8,5",0.85,8.65,Em destaque
10,Pleno,"7,1","7,3",0.9,7.2,Em destaque
11,Pleno,"6,9","7,8",0.75,7.35,Padrão
12,Júnior,"7,3","7,7",0.8,7.5,Em destaque
13,Pleno,"7,86","8,2",0.82,8.03,Em destaque
14,Sênior,"9,5","9,0",1.0,9.25,Em destaque
15,Júnior,"6,8","7,1",0.85,6.95,Padrão
16,Pleno,"8,1","8,5",0.9,8.3,Em destaque
17,Pleno,"7,7","7,0",0.7,7.35,Padrão
18,Pleno,"6,0","6,2",0.5,6.1,Padrão
19,Júnior,"8,9","9,0",0.95,8.95,Em destaque
20,Sênior,"9,2","8,8",0.85,9.0,Em destaque
21,Júnior,"7,4","7,6",0.9,7.5,Em destaque
22,Pleno,"7,0","8,0",0.75,7.5,Padrão
23,Júnior,"7,6","7,9",0.8,7.75,Em destaque
24,Pleno,"8,3","7,95",0.75,8.12,Padrão
25,Sênior,"9,3","9,3",1.0,9.3,Em destaque
26,Júnior,"6,7","7,2",0.85,6.95,Padrão
27,Pleno,"8,4","8,7",0.9,8.55,Em destaque
28,Pleno,"7,9","7,3",0.7,7.6,Padrão
29,Pleno,"6,2","6,4",0.82,6.3,Padrão
30,Júnior,"8,8","9,1",0.95,8.95,Em destaque
31,Sênior,"9,0","8,7",0.85,8.85,Em destaque
32,Júnior,"7,2","7,5",0.9,7.35,Em destaque
33,Pleno,"7,1","8,1",0.75,7.6,Padrão
34,Júnior,"8,5","8,0",0.9,8.25,Em destaque
35,Pleno,"7,8","7,2",0.75,7.5,Padrão
36,Sênior,"9,8","9,7",1.0,9.75,Em destaque
37,Júnior,"6,3","6,8",0.8,6.55,Padrão
38,Pleno,"8,0","8,9",0.82,8.45,Em destaque
39,Pleno,"8,2","6,7",0.7,7.45,Padrão
40,Pleno,"5,8","6,1",0.5,5.95,Padrão
41,Júnior,"9,2","9,3",0.95,9.25,Em destaque
42,Sênior,"8,7","8,6",0.85,8.65,Em destaque
43,Júnior,"7,6","7,4",0.9,7.5,Em destaque
44,Pleno,"7,3","7,9",0.75,7.6,Padrão
45,Júnior,"7,1","7,5",0.8,7.3,Em destaque
46,Pleno,"8,4","7,95",0.75,8.18,Padrão
47,Sênior,"9,6","9,1",1.0,9.35,Em destaque
48,Júnior,"6,9","7,0",0.85,6.95,Padrão
49,Pleno,"8,3","8,6",0.9,8.45,Em destaque
